msg_id,data/voltage,data/current,data/power,data/power_factor,data/timestamp,id,data/switch_state,data/load_state,data/overload_state,data/overcurrent_state,data/overvoltage_state,data/EC,data/all_energy,data/thirty_day_energy,data/today_energy,data/current_hour_energy
1006,234.2,180,24.3,575,2022-04-19&07:45:24+00:00,000000,,,,,,,,,,
1006,234.2,180,24.3,576,2022-04-19&07:45:25+00:00,000000,,,,,,,,,,
1006,234.1,179,24.3,576,2022-04-19&07:45:26+00:00,000000,,,,,,,,,,
1006,233.8,179,24.2,576,2022-04-19&07:45:27+00:00,000000,,,,,,,,,,
1006,234.2,180,24.3,575,2022-04-19&07:45:28+00:00,000000,,,,,,,,,,
1006,234,179,24.3,576,2022-04-19&07:45:29+00:00,000000,,,,,,,,,,
1006,234,179,24.2,576,2022-04-19&07:45:30+00:00,000000,,,,,,,,,,
1006,234,179,24.2,576,2022-04-19&07:45:31+00:00,000000,,,,,,,,,,
1006,234,179,24.3,576,2022-04-19&07:45:32+00:00,000000,,,,,,,,,,
1001,,,,,2022-04-19&07:45:32+00:00,000000,on,1,0,0,0,,,,,
1006,234,179,24.2,575,2022-04-19&07:45:33+00:00,000000,,,,,,,,,,
1006,234,179,24.3,575,2022-04-19&07:45:34+00:00,000000,,,,,,,,,,
1006,233.9,179,24.2,576,2022-04-19&07:45:35+00:00,000000,,,,,,,,,,
1006,234,179,24.3,576,2022-04-19&07:45:36+00:00,000000,,,,,,,,,,
1006,234,179,24.2,576,2022-04-19&07:45:37+00:00,000000,,,,,,,,,,
1006,234.1,180,24.3,575,2022-04-19&07:45:38+00:00,000000,,,,,,,,,,
1006,234.2,180,24.3,576,2022-04-19&07:45:39+00:00,000000,,,,,,,,,,
1006,234.1,179,24.3,575,2022-04-19&07:45:40+00:00,000000,,,,,,,,,,
1006,233.9,179,24.2,576,2022-04-19&07:45:41+00:00,000000,,,,,,,,,,
1006,234.1,179,24.3,575,2022-04-19&07:45:42+00:00,000000,,,,,,,,,,
1006,233.9,179,24.2,576,2022-04-19&07:45:43+00:00,000000,,,,,,,,,,
1006,233.9,179,24.2,575,2022-04-19&07:45:44+00:00,000000,,,,,,,,,,
1006,233.9,179,24.2,575,2022-04-19&07:45:45+00:00,000000,,,,,,,,,,
1006,234.1,180,24.2,574,2022-04-19&07:45:46+00:00,000000,,,,,,,,,,
1006,233.8,179,24.2,575,2022-04-19&07:45:47+00:00,000000,,,,,,,,,,
1006,233.9,179,24.2,575,2022-04-19&07:45:48+00:00,000000,,,,,,,,,,
1006,234.1,180,24.3,576,2022-04-19&07:45:49+00:00,000000,,,,,,,,,,
1006,234,179,24.2,575,2022-04-19&07:45:50+00:00,000000,,,,,,,,,,
1006,234,179,24.2,575,2022-04-19&07:45:51+00:00,000000,,,,,,,,,,
1006,233.8,179,24.2,575,2022-04-19&07:45:52+00:00,000000,,,,,,,,,,
1006,234.2,180,24.3,575,2022-04-19&07:45:53+00:00,000000,,,,,,,,,,
1006,234.1,179,24.2,575,2022-04-19&07:45:54+00:00,000000,,,,,,,,,,
1006,234.1,179,24.2,575,2022-04-19&07:45:55+00:00,000000,,,,,,,,,,
1006,234.1,180,24.3,575,2022-04-19&07:45:56+00:00,000000,,,,,,,,,,
